fs_classroom,s_merge_id,treatment,subdistrict,bs_specialchild,es_phase2_cohort,el_cohort2_cmsize,el_religion,split_status,merge_status,fs_school_id,fl,classroom_id,fs_student_id,girls_school,girls_section,boys_section,bs_male,bs_male_share,bs_age,bs_working_mom,bs_working_dad,bs_siblings,bs_with_mom,bs_with_dad,high_eyes,bs_score_eye_sd,high_raven,bs_score_raven_sd,high_math,high_bangla,bs_parenting_dad_sd,bs_parenting_mom_sd,bt_raven_avg_sd,bt_compclass_avg_m_sd,bt_compclass_avg_b_sd,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1126713,112671_105,treatment,Narsingdi Sadar Upazila,No,yes,109,Muslim,Yes,No,112671,1,1126713,1126713299,no,0,1,yes,1,11,no,yes,1,yes,yes,no,-.1678636663167099,no,-.9767865898904095,no,no,-.5896476763964293,-.3724832244975866,1.754516535471236,-.3670497374853982,-1.716236410436555,1126713254,1126713305,1126713235,1126713254,1126713305,1126713235
1126714,112671_439,treatment,Narsingdi Sadar Upazila,No,yes,72,Muslim,Yes,No,112671,1,1126714,1126714237,no,0,1,yes,1,12,no,yes,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,yes,yes,.1958762446447604,.0349528836827207,2.089128495474859,-2.143652696478052,.119055531298131,1126714284,1126714272,1126714221,1126714272,1126714284,1126714274
1126721,112672_103,control,Narsingdi Sadar Upazila,No,no,71,Muslim,No,No,112672,1,1126722,1126721208,no,1,0,no,0,12,no,yes,2,yes,yes,yes,.8157585187671692,yes,1.348729990217914,no,yes,-.1968857158758349,.442388991863028,.8072623816784059,-.8800285869791445,.4644234280229064,1126721207,1126721220,1126721240,1126721220,1126721240,1126721254
1126722,112672_167,control,Narsingdi Sadar Upazila,No,yes,71,Muslim,No,No,112672,1,1126722,1126722205,no,1,0,no,0,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,.8622179754615749,-1.255351216981725,.119055531298131,1126722204,1126722220,1126722231,1126722201,1126722204,1126722220
1126751,112675_296,control,Narsingdi Sadar Upazila,No,yes,57,Muslim,Yes,No,112675,1,1126752,1126751287,no,1,0,yes,.2807017543859649,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,1.866053855472444,.5212517420109287,.8904913114370949,1126751226,1126751234,1126751309,1126751309,1126751234,
1126752,112675_168,control,Narsingdi Sadar Upazila,No,yes,57,Muslim,Yes,No,112675,1,1126753,1126752242,no,1,0,no,.1228070175438596,12,no,yes,2,yes,yes,no,-1.643296943942528,no,-2.139544879944571,no,no,-1.375171597437619,-.3724832244975866,2.423740455478482,.5212517420109287,.8904913114370949,1126752244,1126752213,1126752239,1126752239,1126752213,1126752244
1126753,112675_167,control,Narsingdi Sadar Upazila,No,yes,57,Non-muslim,Yes,No,112675,1,1126753,1126753259,no,1,0,no,.1228070175438596,14,yes,yes,1,yes,yes,no,-.1678636663167099,no,-.3954074448633285,no,yes,-.5896476763964293,-.3724832244975866,2.423740455478482,.5212517420109287,.8904913114370949,1126753254,1126753202,,1126753202,1126753254,
1126771,112677_122,treatment,Narsingdi Sadar Upazila,No,no,60,Non-muslim,No,No,112677,1,1126771,1126771234,no,0,0,yes,.45,13,no,yes,1,yes,yes,yes,.3239474262252297,no,-1.26747616240395,no,no,-1.767933557958214,.442388991863028,1.922635581690483,.8965743720135092,.9857689723976364,1126771238,1126771226,1126771205,1126771213,1126771220,1126771230
1126801,112680_130,treatment,Narsingdi Sadar Upazila,No,no,63,Muslim,No,No,112680,1,1126801,1126801215,no,1,0,no,0,11,no,yes,1,yes,yes,yes,.8157585187671692,yes,.7673508451908334,yes,no,.1958762446447604,.8498251000433344,2.480322181696521,.4524236322653458,.8904913114370949,1126801223,1126801230,1126801225,1126801223,1126801225,1126801230
1126841,112684_142,treatment,Narsingdi Sadar Upazila,No,no,71,Muslim,No,No,112684,1,1126841,1126841221,no,0,0,yes,.4366197183098591,11,no,yes,0,yes,yes,no,-1.151485851400589,no,-.9767865898904095,no,no,.5886382051653558,.0349528836827207,3.48415806170739,-1.768330066475472,.119055531298131,1126841220,1126841249,1126841211,1126841249,1126841220,1126841211
