fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125391,112539,1,1125391240,1125391219,1125391239,1125391211,1125391201,1125391202,1125391203
1125391,112539,1,1125391235,1125391214,1125391211,1125391220,1125391206,1125391214,1125391220
1125391,112539,1,1125391253,1125391231,1125391223,,1125391201,1125391203,1125391204
1125391,112539,1,1125391213,1125391201,1125391228,1125391231,1125391203,1125391212,1125391219
1125391,112539,1,1125391239,1125391240,1125391219,1125391227,1125391240,1125391219,1125391227
1125391,112539,1,1125391261,1125391221,1125391230,,1125391219,1125391230,
1125391,112539,1,1125391244,1125391216,1125391238,1125391248,1125391216,1125391241,1125391248
1125391,112539,1,1125391251,1125391247,1125391252,,1125391201,1125391202,1125391203
1125391,112539,1,1125391208,1125391258,1125391220,1125391227,1125391204,1125391205,1125391258
1125391,112539,1,1125391259,1125391218,1125391219,1125391222,1125391202,1125391203,1125391205
1125391,112539,1,1125391236,1125391213,1125391224,1125391201,1125391213,1125391201,1125391202
1125391,112539,1,1125391249,1125391219,1125391227,1125391222,1125391219,1125391227,1125391247
1125391,112539,1,1125391212,1125391203,1125391215,1125391237,1125391201,1125391202,1125391203
1125391,112539,1,1125391248,1125391216,1125391244,1125391241,1125391216,1125391244,1125391241
1125391,112539,1,1125391234,1125391201,1125391202,1125391204,,,
1125391,112539,1,1125391257,1125391219,1125391227,1125391240,1125391219,1125391227,
1125391,112539,1,1125391207,1125391201,1125391202,1125391217,1125391201,1125391202,1125391205
1125391,112539,1,1125391224,1125391236,1125391213,,1125391202,1125391204,1125391213
1125391,112539,1,1125391215,1125391203,1125391212,1125391237,1125391203,1125391205,1125391202
1125391,112539,1,1125391267,1125391242,1125391248,1125391257,1125391242,1125391248,1125391257
1125391,112539,1,1125391221,1125391230,1125391263,1125391261,1125391262,1125391263,1125391201
1125391,112539,1,1125391252,1125391247,1125391251,1125391219,1125391228,1125391247,
1125391,112539,1,1125391230,1125391221,1125391261,,1125391221,1125391261,
1125391,112539,1,1125391245,1125391206,1125391211,1125391220,1125391201,1125391220,1125391206
1125391,112539,1,1125391237,1125391203,1125391209,1125391215,1125391203,1125391209,1125391215
1125391,112539,1,1125391264,1125391233,1125391260,1125391255,1125391233,1125391260,1125391247
