classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
1127232.0,112723_403,4.0,112723.0,1127232242.0,yes,yes,18.0,yes,no,1127232226.0,1127232235.0,1127232279.0,1127232227.0,1127232274.0,1127232216.0
1127233.0,112723_192,6.0,112723.0,1127233223.0,no,yes,21.0,yes,yes,1127233259.0,1127233281.0,1127233260.0,1127233244.0,1127233215.0,1127233222.0
1127234.0,112723_260,4.0,112723.0,1127234276.0,yes,no,17.0,yes,no,1127234275.0,1127234263.0,1127234251.0,1127234240.0,1127234229.0,1127234275.0
1127261.0,112726_186,2.0,112726.0,1127261214.0,no,no,19.0,yes,no,1127261289.0,1127261295.0,1127261263.0,1127261207.0,1127261243.0,1127261267.0
1127271.0,112727_122,7.0,112727.0,1127271203.0,yes,no,16.0,no,yes,1127271201.0,1127271224.0,1127271232.0,1127271249.0,1127271250.0,1127271247.0
1127273.0,112727_153,7.0,,1127273.0,no,yes,22.0,yes,yes,,,,,,
1127291.0,112729_142,1.0,,1127291.0,no,yes,12.0,no,no,,,,,,
1127293.0,112729_162,8.0,112729.0,1127293254.0,no,no,19.0,yes,yes,1127293223.0,1127293238.0,1127293221.0,1127293223.0,1127293221.0,1127293238.0
1127294.0,112729_117,5.0,,1127294.0,yes,no,19.0,yes,no,,,,,,
1127301.0,112730_153,,,1127301.0,no,no,,no,no,,,,,,
1127303.0,112730_103,5.0,112730.0,1127303225.0,no,no,17.0,yes,no,1127303224.0,1127303231.0,1127303233.0,1127303229.0,1127303222.0,
1127311.0,112731_119,8.0,112731.0,1127311227.0,no,yes,20.0,yes,yes,1127311217.0,1127311223.0,1127311225.0,1127311217.0,1127311223.0,1127311225.0
1127312.0,112731_145,7.0,112731.0,1127312268.0,no,yes,16.0,no,yes,1127312252.0,1127312254.0,1127312270.0,1127312271.0,1127312254.0,1127312247.0
1127322.0,112732_109,,112732.0,1127322231.0,no,no,,no,no,1127322239.0,1127322212.0,1127322207.0,1127322212.0,1127322239.0,1127322216.0
1127341.0,112734_183,5.0,112734.0,1127341217.0,no,yes,22.0,yes,no,1127341229.0,1127341231.0,1127341269.0,1127341229.0,1127341231.0,1127341269.0
1127353.0,112735_126,8.0,112735.0,1127353234.0,no,yes,10.0,no,yes,1127353228.0,1127353223.0,1127353214.0,1127353241.0,,
1127361.0,112736_154,4.0,112736.0,1127361209.0,no,no,10.0,no,no,1127361220.0,1127361213.0,1127361210.0,1127361207.0,1127361205.0,1127361202.0
1127362.0,112736_164,8.0,112736.0,1127362229.0,no,no,12.0,no,yes,1127362228.0,1127362208.0,1127362230.0,1127362228.0,1127362208.0,1127362222.0
1127381.0,112738_126,6.0,112738.0,1127381210.0,no,no,12.0,no,yes,1127381222.0,1127381221.0,1127381216.0,1127381216.0,1127381222.0,1127381221.0
1127391.0,112739_195,9.0,112739.0,1127391237.0,yes,yes,17.0,yes,yes,1127391212.0,1127391209.0,1127391231.0,1127391215.0,1127391231.0,1127391244.0
1127392.0,112739_187,10.0,112739.0,1127392238.0,no,yes,24.0,yes,yes,1127392203.0,1127392247.0,1127392234.0,1127392203.0,,
1127431.0,112743_111,,,1127431.0,no,no,,no,no,,,,,,
1127471.0,112747_119,6.0,,1127471.0,yes,no,15.0,no,yes,,,,,,
1127602.0,112760_120,,112760.0,1127602232.0,no,no,,no,no,1127602230.0,1127602222.0,1127602220.0,1127602230.0,1127602222.0,1127602220.0
1127641.0,112764_207,6.0,,1127641.0,yes,no,12.0,no,yes,,,,,,
1127642.0,112764_709,2.0,112764.0,1127642247.0,yes,yes,20.0,yes,no,1127642222.0,1127642205.0,1127642226.0,1127642205.0,1127642222.0,1127642217.0
1127643.0,112764_721,8.0,112764.0,1127643230.0,no,no,15.0,no,yes,1127643238.0,1127643237.0,1127643244.0,1127643238.0,1127643244.0,1127643237.0
1127651.0,112765_216,,,1127651.0,no,no,,no,no,,,,,,
1127722.0,112772_122,3.0,112772.0,1127722236.0,no,no,11.0,no,no,1127722235.0,1127722228.0,1127722270.0,1127722254.0,1127722258.0,1127722257.0
1127731.0,112773_149,6.0,112773.0,1127731252.0,no,yes,8.0,no,yes,1127731254.0,1127731266.0,1127731205.0,1127731266.0,1127731258.0,1127731205.0
1127762.0,112776_207,,112776.0,1127762231.0,no,no,,no,no,1127762221.0,1127762232.0,1127762285.0,1127762285.0,1127762232.0,1127762221.0
1127771.0,112777_217,,112777.0,1127771231.0,no,no,,no,no,1127771228.0,1127771247.0,1127771241.0,1127771245.0,1127771251.0,1127771241.0
1127781.0,112778_153,2.0,,1127781.0,no,no,15.0,no,no,,,,,,
1127791.0,112779_715,6.0,112779.0,1127791262.0,no,no,10.0,no,yes,1127791250.0,1127791230.0,1127791241.0,1127791271.0,1127791250.0,1127791236.0
1127811.0,112781_163,4.0,112781.0,1127811262.0,yes,no,15.0,no,no,1127811282.0,1127811284.0,1127811242.0,1127811282.0,1127811242.0,1127811290.0
1127841.0,112784_130,8.0,112784.0,1127841271.0,yes,yes,19.0,yes,yes,1127841259.0,1127841269.0,,1127841259.0,1127841269.0,
1127851.0,112785_130,3.0,112785.0,1127851218.0,no,yes,10.0,no,no,1127851263.0,1127851261.0,1127851223.0,1127851223.0,1127851262.0,
1127853.0,112785_202,,,1127853.0,no,no,,no,no,,,,,,
1127861.0,112786_722,4.0,112786.0,1127861204.0,yes,no,15.0,no,no,1127861213.0,1127861242.0,1127861224.0,1127861213.0,1127861242.0,1127861224.0
1127863.0,112786_143,3.0,112786.0,1127863231.0,no,yes,10.0,no,no,1127863204.0,1127863216.0,1127863252.0,1127863204.0,1127863216.0,1127863252.0
1127871.0,112787_602,,112787.0,1127871222.0,no,no,,no,no,1127871234.0,1127871217.0,1127871212.0,1127871223.0,1127871212.0,
1127891.0,112789_230,,,1127891.0,no,no,,no,no,,,,,,
