fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125481,112548,1,1125481205,1125481215,1125481233,1125481216,1125481215,1125481233,1125481216
1125481,112548,1,1125481213,1125481224,1125481222,1125481220,,1125481224,1125481235
1125481,112548,1,1125481235,1125481201,1125481225,1125481226,1125481231,1125481201,1125481226
1125481,112548,1,1125481222,1125481235,1125481210,1125481221,1125481235,1125481224,1125481201
1125481,112548,1,1125481212,1125481219,1125481223,1125481233,1125481229,1125481219,1125481233
1125491,112549,1,1125491210,1125491213,1125491216,1125491214,1125491213,1125491208,1125491214
1125491,112549,1,1125491238,1125491215,1125491204,1125491228,1125491213,1125491214,1125491217
1125491,112549,1,1125491232,1125491226,1125491213,1125491239,1125491214,1125491204,1125491218
1125491,112549,1,1125491216,1125491208,1125491214,1125491220,1125491239,1125491208,1125491220
1125491,112549,1,1125491235,1125491213,1125491221,1125491224,1125491224,1125491213,1125491221
1125491,112549,1,1125491228,1125491230,1125491204,1125491211,1125491212,1125491215,1125491230
1125491,112549,1,1125491218,1125491215,1125491217,1125491213,1125491215,1125491213,1125491217
1125491,112549,1,1125491212,1125491217,1125491204,1125491226,1125491217,1125491213,1125491216
1125491,112549,1,1125491233,1125491211,1125491213,1125491214,1125491213,1125491221,1125491214
1125491,112549,1,1125491211,1125491238,1125491203,1125491219,1125491213,1125491212,1125491221
1125491,112549,1,1125491213,1125491204,1125491221,1125491209,1125491221,1125491233,1125491208
1125491,112549,1,1125491204,1125491215,1125491230,1125491228,1125491215,1125491230,1125491228
1125492,112549,1,1125492240,1125492217,1125492209,1125492202,1125492217,1125492209,1125492202
1125492,112549,1,1125492203,1125492204,1125492211,1125492240,1125492240,1125492202,1125492209
1125492,112549,1,1125492202,1125492217,1125492240,1125492209,1125492217,1125492209,1125492240
1125492,112549,1,1125492228,1125492240,1125492220,1125492214,1125492202,1125492240,1125492214
1125492,112549,1,1125492206,1125492243,1125492236,1125492215,1125492243,1125492211,1125492215
1125492,112549,1,1125492213,1125492217,1125492202,1125492239,1125492202,1125492214,1125492233
1125492,112549,1,1125492226,1125492204,1125492217,1125492230,1125492202,1125492217,1125492230
