fs_classroom,isolate_in_a,isolate_in_e,reciprocity_share_a,reciprocity_share_e
1126231,0.34782608695652173,0.30434782608695654,0.21428571428571427,0.32
1126241,0.6666666666666666,0.5,0.0,0.6666666666666666
1126611,0.2222222222222222,0.2777777777777778,0.38095238095238093,0.6451612903225806
1126621,0.5,0.6,0.2222222222222222,0.5
1126631,0.3333333333333333,0.4666666666666667,0.18181818181818182,0.6666666666666666
1126651,0.5,0.6666666666666666,0.0,0.6666666666666666
1126661,0.5714285714285714,0.42857142857142855,0.5,1.0
1126662,0.4,0.4,0.5,0.5
1126663,0.5833333333333334,0.5,0.2857142857142857,0.5
1126664,0.5,0.5,0.2857142857142857,0.25
1126671,0.47619047619047616,0.5714285714285714,0.46153846153846156,0.7142857142857143
1126701,0.42857142857142855,0.42857142857142855,0.6153846153846154,0.6666666666666666
1126711,0.2786885245901639,0.2459016393442623,0.33043478260869563,0.4897959183673469
1126712,0.17307692307692307,0.23076923076923078,0.5094339622641509,0.5185185185185185
1126713,0.5416666666666666,0.5416666666666666,0.5714285714285714,0.26666666666666666
1126714,0.47058823529411764,0.47058823529411764,0.6666666666666666,0.36363636363636365
1126722,0.4444444444444444,0.5555555555555556,0.5714285714285714,1.0
1126751,0.2916666666666667,0.3333333333333333,0.4,0.6666666666666666
1126752,0.6666666666666666,0.7777777777777778,0.0,0.0
1126753,0.3888888888888889,0.2222222222222222,0.6666666666666666,0.6
1126761,0.5333333333333333,0.6666666666666666,0.2222222222222222,0.26666666666666666
1126771,0.25,0.25,0.5454545454545454,0.4
1126801,0.4166666666666667,0.5833333333333334,0.36363636363636365,0.25
1126811,0.7857142857142857,0.42857142857142855,0.16666666666666666,0.7272727272727273
1126821,0.6818181818181818,0.5454545454545454,0.2222222222222222,0.7368421052631579
1126841,0.4666666666666667,0.26666666666666666,0.5555555555555556,0.6
1126852,0.45454545454545453,0.36363636363636365,0.5,0.8
1126951,0.41935483870967744,0.2903225806451613,0.425531914893617,0.5
1127221,0.3548387096774194,0.3870967741935484,0.4186046511627907,0.5517241379310345
1127231,0.2978723404255319,0.2553191489361702,0.37623762376237624,0.6486486486486487
1127232,0.6923076923076923,0.6923076923076923,0.4,0.4
1127233,0.35,0.2,0.38095238095238093,0.2727272727272727
1127234,0.7,0.7,0.4,0.4
1127261,0.25,0.21428571428571427,0.5263157894736842,0.55
1127271,0.2857142857142857,0.14285714285714285,0.4126984126984127,0.7407407407407407
1127273,0.5,0.25,1.0,0.6666666666666666
1127291,0.6666666666666666,0.5,0.5,0.4
1127293,0.6666666666666666,0.5555555555555556,0.0,0.3333333333333333
1127294,0.4,0.4,0.5,0.5
1127301,0.4444444444444444,0.2777777777777778,0.5,0.4
1127303,1.0,1.0,0.0,0.0
1127311,0.625,0.625,0.0,0.5
1127312,0.25,0.25,0.5714285714285714,0.8
1127322,0.32142857142857145,0.21428571428571427,0.3157894736842105,0.4583333333333333
1127341,0.4,0.3333333333333333,0.5882352941176471,0.75
1127353,0.6363636363636364,0.2727272727272727,0.4444444444444444,0.6666666666666666
1127361,0.6,0.4,0.0,0.0
1127362,0.25,0.75,0.0,0.0
1127381,0.6,0.6,1.0,0.0
1127391,0.3103448275862069,0.20689655172413793,0.3235294117647059,0.5185185185185185
1127392,0.38461538461538464,0.07692307692307693,0.3333333333333333,0.7727272727272727
1127431,0.4166666666666667,0.5833333333333334,0.1111111111111111,0.3333333333333333
1127471,0.6,0.0,0.0,1.0
1127602,0.25,0.25,0.7058823529411765,0.8888888888888888
1127641,0.4166666666666667,0.5,0.11764705882352941,0.5714285714285714
1127642,0.5,0.5,0.5,0.6666666666666666
1127643,0.42857142857142855,0.7142857142857143,0.0,0.6666666666666666
1127651,0.3333333333333333,0.4666666666666667,0.4,0.42857142857142855
1127722,0.4375,0.375,0.46153846153846156,0.37037037037037035
1127731,0.4,0.3,0.8888888888888888,1.0
1127762,0.42857142857142855,0.14285714285714285,0.21052631578947367,0.5263157894736842
1127771,0.4,0.6,0.4444444444444444,0.5
1127781,0.47368421052631576,0.3684210526315789,0.5882352941176471,0.631578947368421
1127791,0.45454545454545453,0.3181818181818182,0.1935483870967742,0.7142857142857143
1127811,0.4,0.225,0.3333333333333333,0.5172413793103449
1127841,0.3333333333333333,0.25,0.5625,0.7142857142857143
1127851,0.4166666666666667,0.5833333333333334,0.15384615384615385,0.5
1127853,0.6666666666666666,0.6666666666666666,0.0,0.0
1127863,0.4166666666666667,0.5833333333333334,0.4,0.6666666666666666
1127871,0.6363636363636364,0.45454545454545453,0.5,0.8571428571428571
1127891,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333
1127892,1.0,1.0,0.0,0.0
1127901,0.1935483870967742,0.2903225806451613,0.42105263157894735,0.5384615384615384
1127911,0.3333333333333333,0.5,0.375,0.5
1127921,0.7142857142857143,1.0,0.0,0.0
1127931,0.75,0.5,0.0,0.0
1127941,0.2777777777777778,0.2777777777777778,0.34782608695652173,0.6666666666666666
1127951,0.42857142857142855,0.42857142857142855,1.0,1.0
1127952,0.75,0.5,0.0,0.8
1127971,0.0,0.0,0.8,1.0
1127981,0.35714285714285715,0.2857142857142857,0.5333333333333333,0.5
1127982,1.0,1.0,0.0,0.0
1128001,1.0,1.0,0.0,0.0
1128021,0.5,1.0,0.0,0.0
1128191,0.29411764705882354,0.17647058823529413,0.3835616438356164,0.5142857142857142
1128192,0.6666666666666666,0.6666666666666666,0.0,0.0
1128201,0.25,0.375,0.75,0.4444444444444444
1128202,1.0,1.0,0.0,0.0
1128251,0.23076923076923078,0.3076923076923077,0.4166666666666667,0.56
1128261,0.4375,0.25,0.27586206896551724,0.5454545454545454
1128301,0.4482758620689655,0.3793103448275862,0.6060606060606061,0.6060606060606061
1128321,0.3333333333333333,0.6666666666666666,1.0,0.0
1128322,0.5555555555555556,0.4444444444444444,0.6,0.8888888888888888
1128351,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.4
1128352,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.34782608695652173
1128371,0.36363636363636365,0.2727272727272727,0.5,0.625
1128391,0.36363636363636365,0.36363636363636365,0.26666666666666666,0.5
1128392,0.4,0.5,0.2857142857142857,0.5714285714285714
1128411,0.4,0.4,0.0,0.0
1128412,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666
1128421,0.5454545454545454,0.6363636363636364,0.0,0.4
1128431,0.5263157894736842,0.42105263157894735,0.3076923076923077,0.35294117647058826
1128441,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666
1128442,0.5,1.0,0.0,0.0
1128481,0.5,0.25,0.14814814814814814,0.34782608695652173
1128491,0.6,0.6,0.0,0.0
1128501,0.4166666666666667,0.3333333333333333,0.3076923076923077,0.8
1128531,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
1128532,1.0,1.0,0.0,0.0
1128541,0.43333333333333335,0.3,0.36363636363636365,0.35555555555555557
1128551,0.5,0.625,0.46153846153846156,0.8571428571428571
1128581,0.3448275862068966,0.20689655172413793,0.3333333333333333,0.711864406779661
1128582,0.23809523809523808,0.2857142857142857,0.5517241379310345,0.48
1128583,0.14285714285714285,0.14285714285714285,0.4864864864864865,0.6111111111111112
1128584,0.3333333333333333,0.2,0.3333333333333333,0.4
1128841,0.22727272727272727,0.1590909090909091,0.4418604651162791,0.6046511627906976
1314591,0.4,0.6,0.6666666666666666,1.0
1338701,0.0,0.2857142857142857,0.6,0.8
1341191,0.5,0.625,0.6,0.8571428571428571
1343991,0.3684210526315789,0.21052631578947367,0.34782608695652173,0.5454545454545454
1343992,1.0,1.0,0.0,0.0
1346301,1.0,0.6666666666666666,0.0,0.0
1349711,0.47368421052631576,0.47368421052631576,0.25,0.6666666666666666
1353181,0.4117647058823529,0.35294117647058826,0.4,0.7142857142857143
1370211,0.5,0.2,0.38095238095238093,0.631578947368421
