classroom_id,isolate_in_f,isolate_in_s,reciprocity_share_f,reciprocity_share_s
1126631,0.55,0.55,0.3333333333333333,0.15384615384615385
1126651,0.6363636363636364,0.5454545454545454,0.0,0.0
1126661,0.9166666666666666,0.9166666666666666,0.0,0.0
1126662,0.6153846153846154,0.8461538461538461,0.8571428571428571,0.0
1126663,0.875,0.625,0.0,0.0
1126664,0.6153846153846154,0.8461538461538461,0.2857142857142857,0.0
1126671,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.25
1126701,0.46153846153846156,0.5384615384615384,0.2222222222222222,0.5714285714285714
1126711,0.35,0.3,0.2558139534883721,0.3287671232876712
1126712,0.40350877192982454,0.45614035087719296,0.5588235294117647,0.6101694915254238
1126713,0.5172413793103449,0.5172413793103449,0.6153846153846154,0.45454545454545453
1126714,0.75,0.75,0.8,0.5
1126722,0.5,0.5714285714285714,0.8,0.5
1126751,0.45454545454545453,0.45454545454545453,0.3333333333333333,0.5185185185185185
1126752,0.5714285714285714,0.6190476190476191,0.4,0.18181818181818182
1126753,0.6470588235294118,0.5294117647058824,0.5714285714285714,0.5454545454545454
1126761,0.38461538461538464,0.23076923076923078,0.5333333333333333,0.42105263157894735
1126771,0.21428571428571427,0.35714285714285715,0.47058823529411764,0.3076923076923077
1126801,0.42857142857142855,0.7142857142857143,0.4,0.16666666666666666
1126811,0.2222222222222222,0.3888888888888889,0.7368421052631579,0.47058823529411764
1126821,0.4666666666666667,0.5666666666666667,0.6956521739130435,0.3157894736842105
1126841,0.3333333333333333,0.4,0.8,0.5
1126852,0.23076923076923078,0.15384615384615385,0.6,0.6666666666666666
1126951,0.38235294117647056,0.47058823529411764,0.3111111111111111,0.3076923076923077
1127221,0.42424242424242425,0.45454545454545453,0.45714285714285713,0.2564102564102564
1127231,0.3181818181818182,0.3181818181818182,0.4722222222222222,0.2857142857142857
1127232,0.6666666666666666,0.7,0.8,0.5882352941176471
1127233,0.6296296296296297,0.7037037037037037,0.5333333333333333,0.5
1127234,0.7692307692307693,0.5384615384615384,0.4,0.5
1127261,0.36666666666666664,0.43333333333333335,0.6153846153846154,0.5384615384615384
1127271,0.09523809523809523,0.23809523809523808,0.631578947368421,0.65
1127291,0.38461538461538464,0.38461538461538464,0.4117647058823529,0.3157894736842105
1127301,0.34782608695652173,0.34782608695652173,0.6956521739130435,0.48
1127311,0.6666666666666666,0.5,0.8,0.6666666666666666
1127321,0.22580645161290322,0.2903225806451613,0.6511627906976745,0.41379310344827586
1127341,0.375,0.4375,0.6666666666666666,0.46153846153846156
1127351,0.3076923076923077,0.5384615384615384,0.4,0.4444444444444444
1127361,0.7142857142857143,0.8571428571428571,0.0,0.0
1127381,0.6,0.6,0.0,0.0
1127391,0.25925925925925924,0.3333333333333333,0.5714285714285714,0.36363636363636365
1127392,0.21875,0.15625,0.5263157894736842,0.36666666666666664
1127431,0.6666666666666666,0.5833333333333334,0.5,0.0
1127471,0.75,0.5,0.0,0.0
1127602,0.35714285714285715,0.21428571428571427,0.5454545454545454,0.2857142857142857
1127642,0.6,0.5666666666666667,0.3333333333333333,0.2962962962962963
1127651,0.4117647058823529,0.4117647058823529,0.4,0.26666666666666666
1127721,0.47058823529411764,0.47058823529411764,0.46153846153846156,0.24
1127731,0.5,0.3333333333333333,0.6,0.4
1127762,0.5238095238095238,0.42857142857142855,0.45454545454545453,0.4
1127771,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.3333333333333333
