fs_classroom,fs_student_id,s_merge_id,low_low_acad_math,low_low_emot_math,high_high_acad_math,high_high_emot_math,low_low_acad_math_b,low_low_emot_math_b,high_high_acad_math_b,high_high_emot_math_b,low_low_acad_math_perc,low_low_emot_math_perc,high_high_acad_math_perc,high_high_emot_math_perc
2211.0,2211215.0,137021_148,0,0,0,0,0,0,0,0,0.0,,,
2211.0,2211216.0,137021_135,0,0,1,1,0,0,1,1,,,1.0,1.0
2211.0,2211219.0,137021_149,2,1,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211220.0,137021_106,0,0,1,1,0,0,1,1,,,1.0,0.3333333333333333
2211.0,2211221.0,137021_134,1,3,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211224.0,137021_126,0,0,3,1,0,0,1,1,,,1.0,1.0
2211.0,2211225.0,137021_117,0,0,2,2,0,0,1,1,,,1.0,0.6666666666666666
2211.0,2211226.0,137021_113,0,0,0,0,0,0,0,0,,,,
2211.0,2211227.0,137021_123,2,2,0,0,1,1,0,0,1.0,0.6666666666666666,,
2211.0,2211230.0,137021_615,1,1,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211234.0,137021_141,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
2211.0,2211237.0,137021_136,1,2,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211238.0,137021_147,3,2,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211239.0,137021_131,0,0,2,2,0,0,1,1,,,1.0,1.0
2211.0,2211243.0,137021_104,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
2211.0,2211244.0,137021_151,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
2211.0,2211245.0,137021_152,0,0,3,3,0,0,1,1,,,1.0,1.0
2211.0,2211248.0,137021_127,1,0,0,0,1,0,0,0,1.0,,,
2211.0,2211249.0,137021_128,0,0,0,0,0,0,0,0,0.0,0.0,,
2211.0,2211251.0,137021_150,0,2,0,0,0,1,0,0,,1.0,,
2211.0,2211255.0,137021_137,1,3,0,0,1,1,0,0,1.0,1.0,,
2211.0,2211256.0,137021_130,2,2,0,0,1,1,0,0,1.0,1.0,,
3181.0,3181202.0,135318_110,0,0,0,0,0,0,0,0,0.0,0.0,,
3181.0,3181203.0,135318_118,0,0,3,2,0,0,1,1,,,1.0,1.0
3181.0,3181204.0,135318_709,0,0,1,1,0,0,1,1,,,0.5,0.3333333333333333
3181.0,3181205.0,135318_130,0,0,1,0,0,0,1,0,,,0.5,0.0
3181.0,3181206.0,135318_123,0,0,0,0,0,0,0,0,0.0,0.0,,
3181.0,3181207.0,135318_103,0,0,0,0,0,0,0,0,0.0,0.0,,
3181.0,3181208.0,135318_137,0,0,2,2,0,0,1,1,,,0.6666666666666666,1.0
3181.0,3181211.0,135318_133,0,1,0,0,0,1,0,0,0.0,0.3333333333333333,,
3181.0,3181214.0,135318_108,0,0,2,2,0,0,1,1,,,1.0,0.6666666666666666
3181.0,3181217.0,135318_127,0,0,1,2,0,0,1,1,,,1.0,1.0
3181.0,3181219.0,135318_132,1,1,0,0,1,1,0,0,0.3333333333333333,0.5,,
3181.0,3181220.0,135318_141,1,2,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666,,
