s_merge_id,fs_student_id,fs_classroom,high_eyes,high_raven,high_bangla,high_math,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3,isolated_emot_in,isolated_academic_in,isolated_emot_out,isolated_academic_out
137021_128,2211249.0,2211.0,yes,no,yes,no,2211234.0,2211243.0,2211245.0,2211234.0,2211243.0,,0,0,0,0
137021_150,2211251.0,2211.0,no,yes,no,no,2211228.0,2211255.0,2211238.0,,,,1,0,0,1
137021_137,2211255.0,2211.0,no,no,no,no,2211256.0,2211237.0,2211238.0,2211250.0,2211230.0,,0,0,0,0
137021_130,2211256.0,2211.0,no,no,no,no,2211238.0,2211235.0,2211255.0,2211238.0,2211255.0,2211235.0,0,0,0,0
135318_110,3181202.0,3181.0,yes,no,yes,no,3181214.0,3181222.0,3181224.0,3181210.0,3181224.0,3181222.0,0,1,0,0
135318_118,3181203.0,3181.0,no,yes,yes,yes,3181238.0,3181208.0,3181215.0,3181238.0,3181226.0,3181227.0,0,0,0,0
135318_709,3181204.0,3181.0,no,no,yes,yes,3181221.0,3181207.0,3181231.0,3181221.0,3181207.0,,0,0,0,0
135318_130,3181205.0,3181.0,no,yes,no,yes,3181250.0,3181231.0,3181234.0,3181231.0,3181236.0,,0,0,0,0
135318_123,3181206.0,3181.0,yes,no,yes,no,3181244.0,3181240.0,3181222.0,3181222.0,3181224.0,3181244.0,0,0,0,0
135318_103,3181207.0,3181.0,yes,no,yes,no,3181221.0,3181236.0,3181225.0,3181221.0,3181236.0,3181225.0,0,0,0,0
135318_137,3181208.0,3181.0,no,no,no,yes,3181203.0,3181238.0,,3181238.0,3181207.0,3181236.0,0,0,0,0
135318_133,3181211.0,3181.0,yes,no,no,no,3181202.0,3181214.0,3181224.0,3181210.0,3181222.0,3181224.0,1,1,0,0
135318_108,3181214.0,3181.0,yes,no,no,yes,3181202.0,3181224.0,3181222.0,3181210.0,3181222.0,3181224.0,0,0,0,0
135318_127,3181217.0,3181.0,no,no,yes,yes,3181227.0,3181238.0,3181247.0,3181209.0,3181237.0,3181203.0,1,1,0,0
135318_132,3181219.0,3181.0,no,no,no,no,3181206.0,3181222.0,3181240.0,3181206.0,3181221.0,3181222.0,1,1,0,0
135318_141,3181220.0,3181.0,no,no,no,no,3181250.0,3181234.0,3181205.0,3181221.0,3181251.0,3181250.0,0,0,0,0
135318_101,3181221.0,3181.0,yes,no,yes,yes,3181207.0,3181225.0,3181236.0,3181207.0,3181236.0,3181225.0,0,0,0,0
135318_104,3181222.0,3181.0,yes,no,yes,yes,3181214.0,3181238.0,3181226.0,3181210.0,3181220.0,,0,0,0,0
135318_138,3181223.0,3181.0,yes,yes,no,no,3181228.0,3181246.0,3181248.0,3181228.0,3181246.0,3181234.0,0,0,0,0
135318_106,3181224.0,3181.0,yes,no,yes,yes,3181202.0,3181214.0,3181226.0,3181210.0,3181222.0,3181225.0,0,0,0,0
135318_107,3181225.0,3181.0,no,no,yes,yes,3181236.0,3181221.0,3181207.0,3181236.0,3181221.0,3181207.0,0,0,0,0
135318_112,3181226.0,3181.0,no,no,yes,yes,3181222.0,3181224.0,3181214.0,3181210.0,3181222.0,3181221.0,0,0,0,0
135318_124,3181227.0,3181.0,no,yes,no,yes,3181203.0,3181238.0,,3181225.0,3181238.0,3181203.0,0,0,0,0
135318_122,3181228.0,3181.0,yes,no,no,no,3181248.0,3181246.0,3181223.0,3181246.0,3181214.0,3181248.0,0,0,0,0
135318_125,3181229.0,3181.0,no,no,no,no,3181206.0,3181244.0,,3181225.0,3181222.0,,0,0,0,0
135318_126,3181231.0,3181.0,yes,no,no,no,3181205.0,3181221.0,3181244.0,3181221.0,3181236.0,3181207.0,0,0,0,0
135318_131,3181234.0,3181.0,no,no,no,no,3181205.0,3181250.0,3181220.0,3181205.0,3181250.0,3181220.0,0,0,0,0
135318_105,3181236.0,3181.0,no,yes,yes,yes,3181225.0,3181207.0,3181221.0,3181225.0,3181207.0,3181221.0,0,0,0,0
135318_109,3181238.0,3181.0,no,yes,yes,yes,3181208.0,3181227.0,,3181227.0,3181221.0,3181208.0,0,0,0,0
135318_119,3181239.0,3181.0,no,no,no,no,3181202.0,3181210.0,3181242.0,3181242.0,3181210.0,,1,0,0,0
135318_121,3181242.0,3181.0,yes,no,no,no,3181226.0,3181228.0,3181210.0,3181210.0,3181229.0,3181239.0,0,0,0,0
135318_128,3181244.0,3181.0,no,yes,no,yes,3181206.0,3181222.0,3181231.0,3181231.0,3181222.0,3181206.0,0,0,0,0
135318_145,3181245.0,3181.0,yes,yes,yes,no,3181203.0,3181221.0,3181216.0,3181203.0,3181221.0,3181204.0,0,1,0,0
135318_111,3181246.0,3181.0,yes,no,yes,no,3181223.0,3181228.0,3181248.0,3181221.0,3181224.0,3181214.0,0,0,0,0
135318_116,3181248.0,3181.0,no,no,no,no,3181228.0,3181246.0,3181223.0,3181228.0,3181223.0,3181246.0,0,0,0,0
135318_134,3181250.0,3181.0,no,no,no,no,3181204.0,3181234.0,3181231.0,3181205.0,3181234.0,,0,0,0,0
135318_139,3181251.0,3181.0,no,yes,yes,yes,3181220.0,3181229.0,3181234.0,3181220.0,3181222.0,3181221.0,1,0,0,0
135318_142,3181252.0,3181.0,no,no,yes,yes,3181216.0,3181232.0,3181245.0,3181238.0,3181216.0,,1,1,0,0
134399_183,3991201.0,3991.0,yes,yes,yes,yes,3991236.0,3991243.0,3991256.0,3991236.0,3991243.0,3991256.0,0,0,0,0
134399_172,3991202.0,3991.0,yes,yes,yes,yes,3991211.0,3991226.0,3991206.0,3991247.0,3991201.0,3991211.0,0,0,0,0
134399_161,3991203.0,3991.0,yes,yes,yes,yes,3991202.0,3991204.0,3991213.0,3991204.0,3991205.0,3991213.0,0,0,0,0
134399_146,3991204.0,3991.0,no,yes,yes,yes,3991202.0,3991203.0,3991213.0,3991205.0,3991202.0,3991203.0,0,0,0,0
134399_135,3991205.0,3991.0,no,yes,yes,yes,3991213.0,3991220.0,3991226.0,3991213.0,3991220.0,3991226.0,0,0,0,0
134399_123,3991206.0,3991.0,yes,yes,yes,no,3991204.0,3991211.0,3991202.0,3991205.0,3991211.0,3991213.0,0,0,0,0
134399_101,3991209.0,3991.0,no,yes,yes,yes,3991235.0,,,3991235.0,3991202.0,3991220.0,0,0,0,0
134399_181,3991210.0,3991.0,yes,no,yes,no,3991222.0,,,3991228.0,3991222.0,,0,0,0,0
134399_180,3991211.0,3991.0,yes,yes,yes,no,3991202.0,3991226.0,3991206.0,3991202.0,3991206.0,3991226.0,0,0,0,0
134399_179,3991212.0,3991.0,no,no,yes,yes,3991220.0,3991241.0,3991239.0,3991206.0,3991239.0,3991220.0,0,0,0,0
134399_178,3991213.0,3991.0,yes,yes,no,no,3991205.0,3991226.0,3991204.0,3991203.0,3991206.0,3991229.0,0,0,0,0
134399_177,3991214.0,3991.0,yes,no,no,no,3991225.0,3991245.0,3991255.0,3991245.0,3991225.0,3991255.0,0,0,0,0
134399_175,3991216.0,3991.0,no,no,no,no,3991221.0,3991228.0,3991251.0,3991217.0,3991221.0,3991228.0,0,0,0,0
134399_174,3991217.0,3991.0,no,no,no,no,3991253.0,,,3991253.0,,,0,0,0,0
134399_173,3991218.0,3991.0,no,yes,no,yes,3991265.0,3991224.0,3991251.0,3991265.0,,,0,0,0,0
134399_171,3991219.0,3991.0,yes,no,yes,no,3991250.0,3991255.0,3991232.0,3991249.0,3991250.0,3991255.0,0,0,0,0
134399_170,3991220.0,3991.0,no,no,no,no,3991205.0,3991263.0,3991264.0,3991205.0,3991241.0,3991240.0,0,0,0,0
134399_169,3991221.0,3991.0,no,yes,no,no,3991215.0,3991216.0,3991252.0,3991215.0,3991252.0,,0,0,0,0
134399_168,3991222.0,3991.0,no,no,no,no,3991233.0,3991244.0,3991224.0,3991216.0,3991224.0,3991228.0,0,0,0,0
134399_166,3991224.0,3991.0,no,no,yes,yes,3991216.0,3991228.0,3991222.0,3991210.0,3991218.0,3991216.0,0,0,0,0
134399_165,3991225.0,3991.0,yes,yes,no,no,3991214.0,3991245.0,3991255.0,3991245.0,3991214.0,3991255.0,0,0,0,0
134399_164,3991226.0,3991.0,yes,yes,yes,yes,3991205.0,3991211.0,3991229.0,3991204.0,3991205.0,3991213.0,0,0,0,0
134399_188,3991228.0,3991.0,no,no,no,no,3991251.0,3991216.0,3991215.0,3991242.0,3991217.0,3991251.0,0,0,0,0
134399_158,3991229.0,3991.0,no,no,yes,yes,3991226.0,3991230.0,3991237.0,3991226.0,3991230.0,3991213.0,0,0,0,0
134399_157,3991230.0,3991.0,yes,yes,no,no,3991237.0,3991229.0,3991226.0,3991226.0,3991229.0,3991232.0,0,0,0,0
134399_156,3991231.0,3991.0,no,yes,no,yes,3991210.0,3991201.0,3991205.0,3991201.0,3991205.0,3991210.0,1,1,0,0
134399_141,3991232.0,3991.0,no,no,no,no,3991201.0,3991229.0,3991230.0,3991201.0,3991229.0,3991230.0,0,0,0,0
134399_152,3991233.0,3991.0,no,no,yes,yes,3991228.0,3991222.0,3991221.0,3991210.0,3991215.0,,0,1,0,0
134399_151,3991234.0,3991.0,yes,yes,no,no,3991217.0,3991215.0,3991230.0,,,,1,0,0,1
134399_133,3991235.0,3991.0,no,no,no,no,3991209.0,,,3991209.0,3991202.0,3991204.0,0,0,0,0
134399_148,3991236.0,3991.0,yes,yes,no,yes,3991201.0,3991256.0,3991243.0,3991201.0,3991256.0,3991243.0,0,0,0,0
134399_144,3991239.0,3991.0,yes,yes,yes,yes,3991241.0,3991212.0,3991220.0,3991201.0,3991205.0,3991212.0,0,0,0,0
134399_143,3991240.0,3991.0,yes,yes,no,no,3991248.0,3991254.0,3991245.0,3991248.0,3991205.0,3991220.0,0,0,0,0
134399_142,3991241.0,3991.0,yes,yes,no,yes,3991239.0,3991220.0,3991205.0,3991239.0,3991220.0,3991205.0,0,0,0,0
