classroom_id,isolate_in_f,isolate_in_s,reciprocity_share_f,reciprocity_share_s
6951,0.21428571428571427,0.02857142857142857,0.28888888888888886,0.5445026178010471
7221,0.24691358024691357,0.037037037037037035,0.2986425339366516,0.5794392523364486
7231,0.2,0.1,0.3005181347150259,0.573170731707317
7232,0.25,0.1111111111111111,0.5373134328358209,0.704225352112676
7233,0.19642857142857142,0.16071428571428573,0.4892086330935252,0.5263157894736842
7234,0.17777777777777778,0.24444444444444444,0.3877551020408163,0.44
7261,0.10465116279069768,0.11627906976744186,0.4117647058823529,0.4730290456431535
7271,0.26666666666666666,0.06666666666666667,0.3684210526315789,0.6271186440677966
7273,0.6,0.4,1.0,0.6666666666666666
7291,0.375,0.375,0.3225806451612903,0.4375
7293,0.23809523809523808,0.23809523809523808,0.32558139534883723,0.5238095238095238
7294,0.18181818181818182,0.2727272727272727,0.16666666666666666,0.4
7301,0.30434782608695654,0.13043478260869565,0.32727272727272727,0.49523809523809526
7303,0.2857142857142857,0.2857142857142857,0.3076923076923077,0.42857142857142855
7311,0.03571428571428571,0.10714285714285714,0.5063291139240507,0.5526315789473685
7312,0.22727272727272727,0.13636363636363635,0.38461538461538464,0.6521739130434783
7322,0.2391304347826087,0.06521739130434782,0.2857142857142857,0.4878048780487805
7341,0.14285714285714285,0.14285714285714285,0.48854961832061067,0.5864661654135338
7353,0.4074074074074074,0.14814814814814814,0.29850746268656714,0.6153846153846154
7361,0.2777777777777778,0.2222222222222222,0.37209302325581395,0.3888888888888889
7362,0.07692307692307693,0.0,0.5555555555555556,0.48484848484848486
7381,0.2222222222222222,0.1111111111111111,0.5217391304347826,0.6341463414634146
7391,0.3,0.125,0.26262626262626265,0.5684210526315789
7392,0.23529411764705882,0.08823529411764706,0.3835616438356164,0.717948717948718
7431,0.3548387096774194,0.25806451612903225,0.28169014084507044,0.4411764705882353
7471,0.12,0.12,0.4,0.7096774193548387
7602,0.16666666666666666,0.041666666666666664,0.6181818181818182,0.8888888888888888
7641,0.37037037037037035,0.18518518518518517,0.13333333333333333,0.6268656716417911
7642,0.1388888888888889,0.1111111111111111,0.40860215053763443,0.6236559139784946
7643,0.13043478260869565,0.21739130434782608,0.5,0.5306122448979592
7651,0.2413793103448276,0.1896551724137931,0.24,0.3492063492063492
7722,0.3191489361702128,0.14893617021276595,0.2833333333333333,0.5354330708661418
7731,0.19047619047619047,0.21428571428571427,0.3956043956043956,0.5319148936170213
7762,0.16666666666666666,0.06666666666666667,0.272108843537415,0.4430379746835443
7771,0.42857142857142855,0.11428571428571428,0.2597402597402597,0.4235294117647059
7781,0.34375,0.109375,0.2647058823529412,0.5633802816901409
7791,0.22033898305084745,0.05084745762711865,0.2543352601156069,0.6046511627906976
7811,0.23076923076923078,0.10256410256410256,0.33816425120772947,0.4928909952606635
7841,0.15254237288135594,0.15254237288135594,0.4460431654676259,0.5692307692307692
7851,0.2765957446808511,0.2553191489361702,0.26,0.39080459770114945
7853,0.25,0.1875,0.43478260869565216,0.46153846153846156
7861,0.75,0.75,0.0,0.0
7863,0.13043478260869565,0.17391304347826086,0.411214953271028,0.5321100917431193
7871,0.26666666666666666,0.15555555555555556,0.42718446601941745,0.5892857142857143
7891,0.14814814814814814,0.18518518518518517,0.4166666666666667,0.47619047619047616
7892,0.25,0.10714285714285714,0.49056603773584906,0.5
7901,0.13333333333333333,0.03333333333333333,0.4383561643835616,0.6575342465753424
7902,0.14035087719298245,0.10526315789473684,0.43478260869565216,0.4748201438848921
7911,0.30612244897959184,0.12244897959183673,0.2689075630252101,0.5299145299145299
7921,0.21428571428571427,0.09523809523809523,0.4421052631578947,0.7368421052631579
7931,0.30303030303030304,0.15151515151515152,0.345679012345679,0.38095238095238093
7941,0.25,0.125,0.3409090909090909,0.4946236559139785
7951,0.2777777777777778,0.1111111111111111,0.36363636363636365,0.46511627906976744
7952,0.15789473684210525,0.10526315789473684,0.425531914893617,0.7058823529411765
7971,0.2,0.13333333333333333,0.6842105263157895,0.5945945945945946
7981,0.16216216216216217,0.02702702702702703,0.4742268041237113,0.5576923076923077
7982,0.5714285714285714,0.5714285714285714,0.5,0.4
8001,0.21052631578947367,0.05263157894736842,0.29357798165137616,0.5046728971962616
8021,0.14285714285714285,0.19047619047619047,0.2962962962962963,0.4
8191,0.16071428571428573,0.08928571428571429,0.33962264150943394,0.4840764331210191
8192,0.3125,0.25,0.5217391304347826,0.5384615384615384
8201,0.13636363636363635,0.045454545454545456,0.5423728813559322,0.6101694915254238
8202,0.25,0.5,0.5,0.4
8251,0.2571428571428571,0.3142857142857143,0.32941176470588235,0.4722222222222222
8261,0.2549019607843137,0.11764705882352941,0.2714285714285714,0.5426356589147286
8301,0.23943661971830985,0.16901408450704225,0.4121212121212121,0.5348837209302325
8321,0.18181818181818182,0.2727272727272727,0.5263157894736842,0.6153846153846154
8322,0.3103448275862069,0.10344827586206896,0.23376623376623376,0.6666666666666666
8351,0.21052631578947367,0.21052631578947367,0.2916666666666667,0.47058823529411764
8352,0.3125,0.28125,0.3333333333333333,0.36065573770491804
8371,0.24,0.2,0.3,0.42857142857142855
