fs_classroom,isolate_in_a,isolate_in_e,reciprocity_share_a,reciprocity_share_e
1127392,0.23529411764705882,0.08823529411764706,0.3835616438356164,0.717948717948718
1127431,0.3548387096774194,0.25806451612903225,0.28169014084507044,0.4411764705882353
1127471,0.12,0.12,0.4,0.7096774193548387
1127602,0.16666666666666666,0.041666666666666664,0.6181818181818182,0.8888888888888888
1127641,0.32142857142857145,0.21428571428571427,0.12903225806451613,0.6176470588235294
1127642,0.14285714285714285,0.11428571428571428,0.4318181818181818,0.6590909090909091
1127643,0.17391304347826086,0.2608695652173913,0.47619047619047616,0.5
1127651,0.2413793103448276,0.1896551724137931,0.24,0.3492063492063492
1127722,0.3191489361702128,0.14893617021276595,0.2833333333333333,0.5354330708661418
1127731,0.19047619047619047,0.21428571428571427,0.3956043956043956,0.5319148936170213
1127761,1.0,1.0,0.0,0.0
1127762,0.15254237288135594,0.0847457627118644,0.2777777777777778,0.43870967741935485
1127771,0.42857142857142855,0.11428571428571428,0.2597402597402597,0.4235294117647059
1127781,0.34375,0.109375,0.2647058823529412,0.5633802816901409
1127791,0.22033898305084745,0.05084745762711865,0.2543352601156069,0.6046511627906976
1127811,0.23076923076923078,0.10256410256410256,0.33816425120772947,0.4928909952606635
1127841,0.15254237288135594,0.15254237288135594,0.4460431654676259,0.5692307692307692
1127851,0.2765957446808511,0.2553191489361702,0.26,0.39080459770114945
1127853,0.25,0.1875,0.43478260869565216,0.46153846153846156
1127861,0.75,0.75,0.0,0.0
1127863,0.13043478260869565,0.17391304347826086,0.411214953271028,0.5321100917431193
1127871,0.26666666666666666,0.15555555555555556,0.42718446601941745,0.5892857142857143
1127891,0.14814814814814814,0.18518518518518517,0.4166666666666667,0.47619047619047616
1127892,0.25,0.10714285714285714,0.49056603773584906,0.5
1127901,0.08823529411764706,0.07352941176470588,0.40816326530612246,0.5076142131979695
1127902,0.5555555555555556,0.3333333333333333,1.0,0.8888888888888888
1127911,0.30612244897959184,0.12244897959183673,0.2689075630252101,0.5299145299145299
1127921,0.21428571428571427,0.09523809523809523,0.4421052631578947,0.7368421052631579
1127931,0.30303030303030304,0.15151515151515152,0.345679012345679,0.38095238095238093
1127941,0.25,0.125,0.3409090909090909,0.4946236559139785
1127951,0.16666666666666666,0.1111111111111111,0.3888888888888889,0.4888888888888889
1127952,0.1875,0.125,0.36363636363636365,0.6666666666666666
1127971,0.2,0.13333333333333333,0.6842105263157895,0.5945945945945946
1127981,0.2,0.02857142857142857,0.4827586206896552,0.574468085106383
1127982,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333
1128001,0.21052631578947367,0.05263157894736842,0.29357798165137616,0.5046728971962616
1128021,0.14285714285714285,0.19047619047619047,0.2962962962962963,0.4
1128191,0.14285714285714285,0.08928571428571429,0.33540372670807456,0.475
1128192,0.4,0.26666666666666666,0.631578947368421,0.5833333333333334
1128201,0.2,0.05,0.5384615384615384,0.6274509803921569
1128202,0.2,0.3,0.5454545454545454,0.4
1128251,0.2571428571428571,0.3142857142857143,0.32941176470588235,0.4722222222222222
1128261,0.2549019607843137,0.11764705882352941,0.2714285714285714,0.5426356589147286
1128301,0.23943661971830985,0.16901408450704225,0.4121212121212121,0.5348837209302325
1128321,0.18181818181818182,0.2727272727272727,0.5263157894736842,0.6153846153846154
1128322,0.3103448275862069,0.10344827586206896,0.23376623376623376,0.6666666666666666
1128351,0.2,0.2,0.2857142857142857,0.46153846153846156
1128352,0.3333333333333333,0.23333333333333334,0.3673469387755102,0.38596491228070173
1128371,0.24,0.2,0.3,0.42857142857142855
1128391,0.2916666666666667,0.125,0.2222222222222222,0.4126984126984127
1128392,0.11764705882352941,0.058823529411764705,0.35051546391752575,0.6666666666666666
1128411,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.46153846153846156
1128412,0.3181818181818182,0.13636363636363635,0.3333333333333333,0.5531914893617021
1128421,0.17777777777777778,0.08888888888888889,0.42857142857142855,0.5208333333333334
1128431,0.5,0.15217391304347827,0.22,0.44
1128441,0.20833333333333334,0.125,0.3673469387755102,0.64
1128442,0.22727272727272727,0.09090909090909091,0.23728813559322035,0.36363636363636365
1128461,0.4,0.3,0.26666666666666666,0.2857142857142857
1128462,0.15,0.0,0.5555555555555556,0.7368421052631579
1128481,0.41025641025641024,0.07692307692307693,0.14678899082568808,0.37254901960784315
1128491,0.14285714285714285,0.14285714285714285,0.43478260869565216,0.42105263157894735
1128501,0.2647058823529412,0.058823529411764705,0.32098765432098764,0.6341463414634146
1128531,0.25,0.0,0.41379310344827586,0.5
1128532,0.21052631578947367,0.10526315789473684,0.43636363636363634,0.46153846153846156
1128541,0.25925925925925924,0.1111111111111111,0.2714285714285714,0.4413793103448276
1128551,0.25,0.09375,0.3333333333333333,0.5454545454545454
1128581,0.24242424242424243,0.18181818181818182,0.345679012345679,0.6052631578947368
1128582,0.02857142857142857,0.05714285714285714,0.5476190476190477,0.5609756097560976
1128583,0.11428571428571428,0.11428571428571428,0.5063291139240507,0.525
1128584,0.30303030303030304,0.24242424242424243,0.34210526315789475,0.4864864864864865
1128841,0.14814814814814814,0.12962962962962962,0.43548387096774194,0.6141732283464567
1314591,0.21052631578947367,0.10526315789473684,0.34782608695652173,0.6341463414634146
1338701,0.29411764705882354,0.11764705882352941,0.45161290322580644,0.5555555555555556
1341191,0.35714285714285715,0.32142857142857145,0.36,0.37209302325581395
1343991,0.1111111111111111,0.07407407407407407,0.5,0.6382978723404256
