fs_classroom,low_array,high_array,mu
5892.0,"[0, 0, 5]","[0, 0, 1]",0.3333333333333333
5911.0,"[1, 0, 16]","[0, 0, 5]",0.37202380952380953
5941.0,"[2, 0, 10]","[0, 0, 10]",0.522273425499232
5951.0,"[0, 2, 27]","[0, 0, 22]",0.5011920529801324
5952.0,"[0, 1, 25]","[0, 3, 12]",0.4720588235294118
5971.0,"[0, 2, 15]","[0, 0, 8]",0.45662100456620996
5991.0,"[1, 0, 15]","[0, 0, 6]",0.41964285714285715
6041.0,"[0, 0, 11]","[0, 1, 2]",0.350844277673546
6061.0,"[1, 3, 27]","[0, 2, 9]",0.3953679032588645
6071.0,"[2, 5, 19]","[1, 1, 8]",0.4142857142857143
6081.0,"[0, 2, 24]","[0, 2, 13]",0.4743697478991597
6091.0,"[2, 0, 19]","[0, 0, 2]",0.1706293706293706
6101.0,"[2, 3, 16]","[0, 0, 3]",0.23879598662207357
6111.0,"[0, 1, 22]","[0, 1, 15]",0.4963386727688787
6141.0,"[1, 1, 23]","[0, 4, 9]",0.4574387471583733
6161.0,"[1, 2, 15]","[1, 1, 6]",0.43830985915492954
6201.0,"[2, 3, 14]","[0, 0, 6]",0.3933823529411765
6202.0,"[3, 1, 12]","[0, 0, 0]",
6203.0,"[0, 1, 0]","[0, 0, 1]",0.0
6211.0,"[2, 3, 9]","[0, 0, 5]",0.4277777777777777
6221.0,"[0, 5, 21]","[0, 2, 4]",0.30953243928959767
6231.0,"[1, 6, 21]","[1, 4, 18]",0.5053237410071943
6241.0,"[4, 0, 25]","[0, 2, 4]",0.29040247678018577
6301.0,"[0, 0, 18]","[0, 0, 3]",0.2571428571428572
6611.0,"[0, 0, 15]","[0, 0, 18]",0.5113636363636364
6621.0,"[0, 3, 19]","[0, 0, 10]",0.44745057232049945
6631.0,"[1, 2, 11]","[0, 5, 9]",0.5185185185185186
6632.0,"[0, 1, 1]","[0, 0, 0]",
6651.0,"[2, 2, 17]","[1, 0, 5]",0.35721812434141204
6661.0,"[0, 0, 33]","[0, 0, 7]",0.2961538461538461
6662.0,"[0, 0, 31]","[0, 0, 5]",0.24603174603174602
6663.0,"[0, 10, 27]","[1, 3, 8]",0.3723169191919192
6664.0,"[1, 13, 15]","[1, 2, 6]",0.37411095305832154
6671.0,"[6, 10, 28]","[5, 3, 12]",0.43150338691739965
6701.0,"[2, 4, 13]","[3, 2, 9]",0.5015060240963854
6711.0,"[2, 4, 24]","[5, 10, 44]",0.45397489539748953
6712.0,"[0, 0, 29]","[0, 1, 53]",0.46061172305271436
6713.0,"[3, 10, 42]","[4, 1, 18]",0.41800782949108306
6714.0,"[1, 0, 36]","[2, 0, 15]",0.4344460570875665
6721.0,"[0, 0, 1]","[0, 0, 0]",
6722.0,"[0, 2, 24]","[0, 2, 7]",0.38846825859056494
6751.0,"[2, 5, 23]","[1, 5, 18]",0.5032308089945722
6752.0,"[1, 5, 22]","[0, 2, 7]",0.37935729847494554
6753.0,"[0, 4, 17]","[0, 4, 14]",0.5098985997102848
6761.0,"[0, 1, 13]","[0, 1, 14]",0.5172268907563025
6771.0,"[0, 1, 12]","[0, 0, 12]",0.5202702702702704
6801.0,"[0, 0, 29]","[0, 0, 12]",0.42439024390243907
6811.0,"[0, 1, 27]","[0, 0, 14]",0.45619512195121953
6821.0,"[0, 1, 45]","[0, 1, 21]",0.4436234668242944
6841.0,"[0, 1, 23]","[0, 0, 15]",0.48661524500907444
6852.0,"[0, 3, 26]","[0, 0, 11]",0.4122287968441814
6951.0,"[2, 5, 32]","[2, 4, 25]",0.5003379139445822
7221.0,"[0, 2, 47]","[0, 3, 28]",0.47966603824400755
7231.0,"[5, 0, 16]","[5, 4, 37]",0.4316041773668892
7232.0,"[2, 3, 19]","[2, 2, 8]",0.4511278195488722
7233.0,"[1, 0, 30]","[1, 4, 18]",0.4957118353344769
7234.0,"[1, 3, 31]","[0, 0, 10]",0.3583916083916084
7261.0,"[0, 0, 58]","[0, 0, 28]",0.4443228454172366
7271.0,"[0, 3, 12]","[1, 1, 25]",0.46829268292682935
7273.0,"[0, 0, 1]","[0, 0, 4]",0.4
7291.0,"[0, 0, 10]","[0, 0, 6]",0.5
7293.0,"[0, 1, 11]","[0, 1, 8]",0.5139344262295082
7294.0,"[0, 0, 6]","[0, 1, 4]",0.54375
7301.0,"[1, 8, 19]","[1, 4, 13]",0.48743169398907105
7303.0,"[1, 1, 10]","[0, 0, 1]",0.1597222222222222
7311.0,"[0, 2, 18]","[0, 1, 7]",0.4224965706447188
7312.0,"[1, 0, 17]","[0, 0, 4]",0.31547619047619047
7322.0,"[1, 4, 13]","[1, 2, 25]",0.48333333333333334
7341.0,"[0, 1, 33]","[0, 1, 14]",0.4326149425287356
7353.0,"[0, 0, 16]","[1, 2, 8]",0.4955044955044955
7361.0,"[1, 1, 11]","[0, 0, 5]",0.43252595155709345
7362.0,"[0, 1, 8]","[0, 0, 4]",0.46491228070175433
7381.0,"[0, 7, 6]","[0, 1, 4]",0.4373401534526854
7391.0,"[0, 3, 8]","[0, 3, 26]",0.40350877192982454
7392.0,"[1, 3, 4]","[1, 7, 18]",0.36019283746556474
7431.0,"[0, 4, 15]","[1, 2, 9]",0.48784313725490197
7471.0,"[0, 5, 15]","[0, 1, 4]",0.3351449275362319
7602.0,"[1, 2, 8]","[0, 2, 9]",0.5238095238095238
7641.0,"[0, 0, 16]","[0, 0, 11]",0.5014245014245013
7642.0,"[0, 0, 25]","[0, 0, 11]",0.43650793650793646
7643.0,"[0, 0, 16]","[0, 0, 7]",0.4426877470355731
7651.0,"[0, 2, 40]","[0, 0, 15]",0.3962383770076077
7722.0,"[1, 1, 28]","[0, 0, 16]",0.46617283950617283
7731.0,"[1, 2, 29]","[0, 1, 9]",0.37250554323725055
7762.0,"[0, 1, 45]","[0, 0, 14]",0.364548811665562
7771.0,"[0, 0, 30]","[0, 0, 5]",0.2521008403361345
7781.0,"[4, 12, 27]","[2, 2, 15]",0.43688524590163935
7791.0,"[0, 1, 36]","[0, 2, 20]",0.474435196195006
7811.0,"[1, 5, 32]","[0, 4, 36]",0.5059693669559141
7841.0,"[3, 9, 21]","[2, 3, 19]",0.49868168744007674
7851.0,"[5, 7, 20]","[2, 4, 6]",0.40078243860030427
7853.0,"[2, 2, 9]","[1, 0, 2]",0.3166666666666667
7861.0,"[0, 0, 4]","[0, 0, 0]",
7863.0,"[1, 2, 29]","[0, 1, 10]",0.3909370199692781
7871.0,"[0, 0, 34]","[0, 0, 11]",0.37777777777777777
7891.0,"[2, 2, 11]","[1, 5, 6]",0.5107466063348417
7892.0,"[2, 7, 18]","[0, 0, 1]",0.07661085743277524
7901.0,"[0, 0, 20]","[0, 0, 10]",0.45977011494252873
7902.0,"[4, 8, 24]","[0, 3, 18]",0.4807330827067669
7911.0,"[0, 1, 36]","[0, 1, 11]",0.3757183908045977
7921.0,"[1, 4, 29]","[0, 3, 4]",0.28157894736842104
7931.0,"[1, 2, 26]","[0, 1, 3]",0.21642287234042554
7941.0,"[1, 1, 19]","[0, 1, 17]",0.5107126222636237
7951.0,"[0, 0, 12]","[0, 0, 6]",0.47058823529411764
7952.0,"[0, 1, 8]","[0, 0, 10]",0.5257936507936508
7971.0,"[0, 3, 9]","[0, 0, 3]",0.3520408163265306
7981.0,"[0, 1, 21]","[0, 3, 12]",0.4929906542056075
7982.0,"[1, 2, 3]","[0, 0, 1]",0.3137254901960784
8001.0,"[0, 0, 34]","[0, 0, 4]",0.1934566145092461
8021.0,"[0, 1, 18]","[0, 0, 2]",0.18225806451612905
8191.0,"[0, 0, 22]","[0, 1, 33]",0.48622754491017955
8192.0,"[0, 1, 12]","[0, 0, 3]",0.3276595744680851
8201.0,"[0, 0, 12]","[0, 1, 9]",0.5186813186813187
8202.0,"[0, 0, 7]","[0, 0, 1]",0.25
8251.0,"[0, 2, 20]","[0, 0, 12]",0.4727272727272727
8261.0,"[1, 0, 34]","[0, 2, 14]",0.43731543624161073
8301.0,"[1, 4, 37]","[0, 6, 23]",0.4891257995735608
8321.0,"[0, 1, 7]","[0, 0, 3]",0.44062500000000004
8322.0,"[0, 0, 20]","[0, 0, 9]",0.44334975369458124
8351.0,"[0, 0, 12]","[0, 0, 7]",0.49122807017543857
8352.0,"[0, 0, 14]","[0, 2, 16]",0.5092656142759093
8371.0,"[0, 4, 9]","[2, 2, 7]",0.5161290322580645
8391.0,"[0, 0, 13]","[0, 1, 10]",0.5174525413349663
8392.0,"[0, 1, 23]","[0, 0, 10]",0.429042904290429
8411.0,"[0, 0, 15]","[2, 0, 3]",0.3665413533834586
8412.0,"[1, 3, 12]","[0, 1, 5]",0.4206349206349206
8421.0,"[3, 6, 21]","[1, 1, 8]",0.38827838827838823
8431.0,"[2, 6, 17]","[1, 5, 12]",0.49851190476190477
8441.0,"[1, 4, 12]","[0, 2, 5]",0.43342391304347827
8442.0,"[0, 1, 18]","[0, 0, 2]",0.18225806451612905
8461.0,"[0, 0, 10]","[0, 0, 0]",
8462.0,"[0, 1, 19]","[0, 0, 0]",
8481.0,"[1, 1, 21]","[0, 0, 16]",0.49861495844875353
8491.0,"[0, 6, 10]","[2, 0, 3]",0.36415094339622633
8501.0,"[1, 2, 19]","[0, 2, 10]",0.47095959595959597
8531.0,"[0, 1, 8]","[0, 0, 3]",0.41298701298701296
8532.0,"[0, 1, 16]","[0, 0, 2]",0.20039682539682538
8541.0,"[2, 0, 22]","[1, 2, 27]",0.5028179367802009
8551.0,"[0, 0, 24]","[0, 0, 8]",0.38709677419354843
8581.0,"[0, 0, 4]","[0, 2, 28]",0.2157575757575758
8582.0,"[1, 0, 13]","[0, 0, 21]",0.491719017704169
8583.0,"[0, 0, 14]","[0, 0, 21]",0.4941176470588236
8584.0,"[0, 0, 21]","[0, 0, 15]",0.5
8701.0,"[1, 1, 8]","[1, 0, 6]",0.5149456521739131
8841.0,"[1, 5, 4]","[7, 8, 28]",0.304585798816568
9711.0,"[1, 1, 22]","[0, 2, 17]",0.505184331797235
